host,ip,port
125.75.217.18:32768,125.75.217.18,32768
125.114.253.5:8000,125.114.253.5,8000
223.167.230.101:29999,223.167.230.101,29999
https://171.113.205.227:5678,171.113.205.227,5678
119.179.160.119:5678,119.179.160.119,5678
125.120.242.213:10000,125.120.242.213,10000
yxkj.i234.me:8666,38.76.178.14,8666
125.120.242.213:10001,125.120.242.213,10001
27.42.73.229:8000,27.42.73.229,8000
47.76.28.91:8900,47.76.28.91,8900
111.166.26.33:18080,111.166.26.33,18080
117.80.31.16:8001,117.80.31.16,8001
39.98.94.174:5678,39.98.94.174,5678
120.40.175.183:8000,120.40.175.183,8000
61.146.163.68:8001,61.146.163.68,8001
27.158.231.20:8000,27.158.231.20,8000
23.94.104.39:8875,23.94.104.39,8875
59.39.252.128:8000,59.39.252.128,8000
182.149.112.92:8000,182.149.112.92,8000
123.157.56.148:8081,123.157.56.148,8081
101.67.248.106:8008,101.67.248.106,8008
36.249.56.231:88,36.249.56.231,88
du.mia0630.top:3079,27.16.173.138,3079
183.141.15.29:88,183.141.15.29,88
n.im5k.fun,104.21.46.29,80
119.100.144.68:8010,119.100.144.68,8010
113.89.244.204:18001,113.89.244.204,18001
219.139.229.200:8125,219.139.229.200,8125
171.213.196.213:7001,171.213.196.213,7001
ats.319511kaijun.xyz:8700,150.158.189.185,8700
api2.319511kaijun.xyz:8700,150.158.189.185,8700
www.v1iptv.com:8000,47.76.189.60,8000
ipds.cc:8000,47.76.189.60,8000
v1iptv.com:8000,47.76.189.60,8000
tss.ydns.eu:8008,101.67.248.114,8008
58.245.86.24:8888,58.245.86.24,8888
183.156.232.15:10001,183.156.232.15,10001
183.156.232.15:10000,183.156.232.15,10000
app.aurorachan.cc:8001,61.146.163.68,8001
gitlab.jiuwei.cloud:50025,14.23.70.197,50025
hybt.myqnapcloud.com:34567,140.240.82.144,34567
115.192.46.140:8686,115.192.46.140,8686
116.237.159.90:8855,116.237.159.90,8855
119.100.147.28:8010,119.100.147.28,8010
125.108.64.93:34567,125.108.64.93,34567
220.161.40.20:8000,220.161.40.20,8000
114.250.85.203:34567,114.250.85.203,34567
140.240.82.144:34567,140.240.82.144,34567
116.52.114.154:49153,116.52.114.154,49153
122.159.179.197:33338,122.159.179.197,33338
1.203.76.231:9004,1.203.76.231,9004
123.179.177.87:8125,123.179.177.87,8125
111.166.31.102:18080,111.166.31.102,18080
117.83.81.223:8085,117.83.81.223,8085
183.158.116.199:10001,183.158.116.199,10001
183.158.116.199:10000,183.158.116.199,10000
121.236.221.225:34567,121.236.221.225,34567
125.108.83.225:34567,125.108.83.225,34567
114.66.39.115:8000,114.66.39.115,8000
124.16.138.127:8000,124.16.138.127,8000
101.67.248.254:8008,101.67.248.254,8008
59.39.252.153:8000,59.39.252.153,8000
27.191.90.34:8000,27.191.90.34,8000
101.64.139.80:8000,101.64.139.80,8000
27.157.105.224:8000,27.157.105.224,8000
125.114.254.144:8000,125.114.254.144,8000
221.209.122.15:34567,221.209.122.15,34567
183.141.201.39:88,183.141.201.39,88
121.57.225.106:9000,121.57.225.106,9000
114.66.39.115:5678,114.66.39.115,5678
mohua.xmn666.dns-dynamic.net,154.40.44.187,80
https://mohua.xmn666.dns-dynamic.net,172.67.204.219,443
223.167.230.9:29999,223.167.230.9,29999
122.159.176.165:33338,122.159.176.165,33338
59.174.160.223:8125,59.174.160.223,8125
116.249.33.103:49153,116.249.33.103,49153
020.3vdo.club,203.88.112.29,80
114.250.90.121:34567,114.250.90.121,34567
iptv.777701.xyz,104.21.90.162,80
https://iptv.777701.xyz,172.67.202.115,443
117.81.108.74:8085,117.81.108.74,8085
183.153.68.84:8686,183.153.68.84,8686
150.158.189.185:8700,150.158.189.185,8700
43.165.63.207:8666,43.165.63.207,8666
115.216.102.114:10000,115.216.102.114,10000
222.181.252.75:8666,222.181.252.75,8666
1.205.82.230:8666,1.205.82.230,8666
114.240.111.191:8666,114.240.111.191,8666
121.233.251.16:8666,121.233.251.16,8666
220.192.64.88:8666,220.192.64.88,8666
